attack_folder,ids_sequence
143,"T1071.001, T1566.002, T1204.002, T1071.001, T1057, T1049, T1059.001, T1057, T1071.001, T1566.002, T1547.001, T1005, T1113, T1106, T1074.001, T1059.003, T1112, T1134, T1059.001, T1562.001, T1059.003, T1562.009, T1112, T1112, T1490"
144,"T1071.001, T1566.002, T1204.002, T1071.001, T1083, T1059.001, T1082, T1057, T1057, T1113, T1005, T1106, T1074.001, T1059.003, T1112, T1134, T1059.001, T1562.001, T1059.003, T1112, T1490, T1112, T1562.001, T1562.001"
145,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1059.001, T1071.001, T1566.002, T1547.001, T1113, T1005, T1106, T1074.001, T1059.003, T1112, T1134, T1059.003, T1562.001, T1112, T1059.001, T1562.001, T1112, T1112, T1562.009"
146,"T1071.001, T1204.002, T1071.001, T1083, T1083, T1059.001, T1082, T1059.003, T1053.005, T1005, T1113, T1106, T1074.001, T1134, T1059.003, T1112, T1112, T1490, T1562.001, T1112, T1562.001"
147,"T1071.001, T1566.002, T1204.002, T1071.001, T1083, T1059.003, T1087.002, T1071.001, T1105, T1547.001, T1059.001, T1106, T1074.001, T1005, T1113, T1134, T1059.001, T1562.001, T1112, T1059.003, T1562.009, T1562.001, T1562.001, T1112, T1490"
148,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1018, T1049, T1059.001, T1057, T1018, T1057, T1087.002, T1071.001, T1105, T1547.001, T1106, T1560, T1113, T1005, T1134, T1059.001, T1562.001, T1059.003, T1112, T1112, T1112, T1112, T1562.009, T1490, T1112"
149,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1049, T1059.001, T1082, T1057, T1040, T1083, T1071.001, T1566.002, T1547.001, T1005, T1106, T1074.001, T1113, T1071.001, T1134, T1059.003, T1562.009, T1112, T1490, T1562.001, T1112, T1112"
14_HawkEyeCampaign,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1057, T1018, T1134, T1059.001, T1071.001, T1566.002, T1547.001, T1113, T1005, T1106, T1560, T1059.003, T1562.009, T1562.001, T1112, T1112, T1112, T1112"
150,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1018, T1059.001, T1082, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1071.001, T1134, T1059.003, T1112, T1059.001, T1562.001, T1112, T1112, T1562.009, T1490, T1112, T1112"
151,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1069.001, T1071.001, T1204.002, T1053.005, T1059.001, T1106, T1560, T1005, T1071.001, T1134, T1059.003, T1112, T1112, T1112, T1562.009"
152,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1069.001, T1059.001, T1005, T1134, T1059.003, T1112"
153,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1082, T1071.001, T1566.002, T1547.001, T1134, T1059.003, T1112, T1112"
154,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1134, T1059.003, T1112, T1112"
155,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1057, T1069.002, T1059.003, T1071.001, T1204.002, T1547.001, T1106, T1074.001, T1134, T1059.003, T1112"
156,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1059.003, T1018, T1083, T1087.001, T1071.001, T1566.002, T1547.001, T1005, T1113, T1106, T1560, T1134, T1059.003, T1112, T1112, T1059.001, T1562.001, T1562.001, T1112, T1490"
157,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1082, T1083, T1071.001, T1566.002, T1547.004, T1005, T1113, T1106, T1074.001, T1071.001, T1134, T1059.003, T1112, T1112, T1562.001, T1562.001, T1112, T1490"
158,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1018, T1083, T1087.002, T1071.001, T1105, T1547.001, T1059.001, T1005, T1113, T1106, T1074.001, T1204.002, T1548.002, T1113, T1071.001, T1059.003, T1562.009, T1112, T1059.001, T1071.001, T1059.001, T1562.001, T1112, T1112, T1112, T1112, T1562.001, T1562.001, T1112"
159,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1018, T1083, T1087.001, T1071.001, T1204.002, T1059.001, T1547.004, T1005, T1113, T1106, T1074.001, T1071.001, T1134, T1059.003, T1112, T1112, T1562.001, T1562.001, T1112, T1490"
15_EmotetCampaign,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1049, T1057, T1059.003, T1018, T1059.001, T1057, T1071.001, T1071.001, T1204.002, T1547.001, T1005, T1113, T1106, T1074.001, T1071.001, T1134, T1059.003, T1112, T1112, T1562.001, T1112, T1112, T1562.001, T1490, T1562.009, T1112"
160,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1135, T1083, T1071.001, T1059.003, T1087.002, T1071.001, T1204.002, T1547.001, T1005, T1113, T1106, T1074.001, T1113, T1105, T1548.002, T1071.001, T1071.001, T1059.003, T1112, T1112, T1562.001, T1112, T1490"
161,"T1071.001, T1204.002, T1071.001, T1083, T1059.001, T1082, T1083, T1547.004, T1005, T1106, T1074.001, T1113, T1548.002, T1071.001, T1059.003, T1112, T1562.001, T1566.002, T1071.001, T1204.002, T1059.001, T1562.001, T1112, T1112, T1112, T1562.009"
162,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1082, T1057, T1083, T1134, T1071.001, T1105, T1059.001, T1547.001, T1005, T1106, T1074.001, T1113, T1059.003, T1112, T1562.001, T1562.001, T1112, T1112, T1112, T1112, T1562.009"
163,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1082, T1057, T1083, T1071.001, T1566.002, T1547.001, T1005, T1106, T1074.001, T1113, T1134, T1059.003, T1112, T1059.001, T1562.001, T1562.001, T1112, T1112, T1112, T1112, T1562.009"
164,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1082, T1057, T1083, T1071.001, T1566.002, T1547.004, T1005, T1106, T1074.001, T1113, T1548.002, T1204.002, T1071.001, T1059.003, T1059.003, T1112, T1059.001, T1562.001, T1562.001, T1112, T1112, T1112, T1112"
165,"T1071.001, T1204.002, T1071.001, T1059.001, T1082, T1057, T1083, T1547.004, T1005, T1106, T1074.001, T1113, T1134, T1059.003, T1112, T1562.001, T1059.001, T1562.001, T1112, T1112, T1112, T1112, T1562.009"
